key,value,updated_at
ad_admob_app_id_android,,2026-03-30 18:33:51.226494+00
ad_admob_app_id_ios,,2026-03-30 18:33:51.226494+00
ad_adsense_publisher_id,,2026-03-30 18:33:51.226494+00
ad_app_banner_unit_id,,2026-03-30 18:33:51.226494+00
ad_app_open_unit_id,,2026-03-30 18:33:51.226494+00
ad_cooldown_minutes,5,2026-03-25 04:35:56.85448+00
ad_country_targeting,,2026-03-30 18:33:51.226494+00
ad_free_show_ads,true,2026-03-30 18:33:51.226494+00
ad_interstitial_unit_id,,2026-03-30 18:33:51.226494+00
ad_max_per_day,10,2026-03-25 04:35:56.85448+00
ad_premium_hide_ads,true,2026-03-30 18:33:51.226494+00
ad_provider_type,adsense,2026-03-30 18:33:51.226494+00
ad_rewarded_coins,5,2026-03-25 04:35:56.85448+00
ad_rewarded_unit_id,,2026-03-30 18:33:51.226494+00
ad_system_enabled,true,2026-03-25 04:35:56.85448+00
ad_web_banner_unit_id,,2026-03-30 18:33:51.226494+00
ads_per_quick_unlock,2,2026-04-01 14:11:15.638+00
bonus_coin_per_ad_session,1,2026-04-01 14:11:15.833+00
coin_ad_reward,1,2026-04-01 14:11:12.449+00
coin_ad_streak_bonus_amount,2,2026-04-01 14:11:13.857+00
coin_ad_streak_bonus_threshold,5,2026-04-01 14:11:13.58+00
coin_campaign_bonus,0,2026-04-01 14:11:12.117+00
coin_conversion_ratio,0.05,2026-04-01 14:11:15.261+00
coin_daily_limit,10,2026-04-01 14:11:12.793+00
coin_daily_login_reward,1,2026-04-01 14:11:13.286+00
coin_expiry_days,30,2026-04-01 14:11:11.587+00
coin_min_unlock,3,2026-04-01 14:11:15.452+00
coin_signup_bonus,3,2026-04-01 14:11:13.014+00
coin_system_enabled,true,2026-04-01 14:11:14.881+00
coin_unlock_creator_pct,70,2026-04-01 14:11:14.654+00
coin_unlock_enabled,true,2026-04-01 14:11:15.073+00
coin_unlock_platform_pct,30,2026-04-01 14:11:14.277+00
demo_payment_enabled,true,2026-03-31 09:12:58.093923+00
demo_payment_mode,sandbox,2026-03-31 09:12:58.093923+00
drm_block_download,true,2026-03-25 10:08:44.691+00
drm_enabled,true,2026-03-25 10:08:44.69+00
drm_max_sessions,3,2026-03-25 10:08:44.69+00
drm_token_expiry_minutes,10,2026-03-25 10:08:44.69+00
drm_watermark_enabled,true,2026-03-25 10:08:44.691+00
minimum_withdrawal_amount,500,2026-03-24 12:52:43.056943+00
rec_ai_enabled,true,2026-03-25 04:53:38.821374+00
rec_behavior_weight,40,2026-03-25 04:53:38.821374+00
rec_max_items,10,2026-03-25 04:53:38.821374+00
rec_popularity_weight,40,2026-03-25 04:53:38.821374+00
rec_recency_weight,20,2026-03-25 04:53:38.821374+00
rec_system_enabled,true,2026-03-25 04:53:38.821374+00
rec_trending_period_days,7,2026-03-25 04:53:38.821374+00
referral_enabled,true,2026-03-25 05:19:38.031623+00
referral_first_read_reward,20,2026-03-25 05:19:38.031623+00
referral_first_unlock_reward,30,2026-03-25 05:19:38.031623+00
referral_max_per_day,10,2026-03-25 05:19:38.031623+00
referral_max_rewards_per_day,50,2026-03-25 05:19:38.031623+00
referral_referred_bonus,5,2026-03-25 05:19:38.031623+00
referral_signup_reward,10,2026-03-25 05:19:38.031623+00
subscription_pool_creator_pct,60,2026-03-29 15:46:31.258496+00
subscription_pool_platform_pct,40,2026-03-29 15:46:31.258496+00